,title,new_tag,imdbId,pop_score,poster_url
1018,Paterson,(no genres listed),5247022,4.51,"https://m.media-amazon.com/images/M/MV5BMTUzODA4Nzk0OF5BMl5BanBnXkFtZTgwNzE1MDIwMDI@._V1_SX101_CR0,0,101,150_.jpg"
843,Matrix (1999),Action,133093,6.972446043,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX101_CR0,0,101,150_.jpg"
1299,Star Wars: Episode IV - A New Hope (1977),Action,76759,6.741075697,"https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_SX101_CR0,0,101,150_.jpg"
439,Fight Club (1999),Action,137523,6.45293578,"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX101_CR0,0,101,150_.jpg"
193,Braveheart (1995),Action,112573,6.40164557,"https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY150_CR0,0,101,150_.jpg"
1300,Star Wars: Episode V - The Empire Strikes Back (1980),Action,80684,6.32563981,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX101_CR0,0,101,150_.jpg"
789,Lord of the Rings: The Fellowship of the Ring (2001),Adventure,120737,6.086060606,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SY150_CR0,0,101,150_.jpg"
1415,Toy Story (1995),Adventure,114709,6.070930233,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX101_CR0,0,101,150_.jpg"
791,Lord of the Rings: The Two Towers(2002),Adventure,167261,5.901276596,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX101_CR0,0,101,150_.jpg"
82,Apollo 13 (1995),Adventure,112384,5.855771144,"https://m.media-amazon.com/images/M/MV5BMjc4MzZlNmQtN2ZlOS00OGQzLWI5YjEtNDQ2YmZlN2FjNTIxXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX101_CR0,0,101,150_.jpg"
106,Back to the Future (1985),Adventure,88763,5.748011696,"https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX101_CR0,0,101,150_.jpg"
126,Beauty and the Beast (1991),Animation,101414,5.230547945,"https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY150_CR0,0,101,150_.jpg"
895,More (1998),Animation,188913,5.01,"https://m.media-amazon.com/images/M/MV5BMmYwNWRmNTAtZjYyZC00YzdiLWJlNjItYmJkODEyYWFjYWM0XkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX101_CR0,0,101,150_.jpg"
1265,"South Park: Bigger, Longer and Uncut (1999)",Animation,158983,4.621842105,"https://m.media-amazon.com/images/M/MV5BOGE0ZWI0YzAtY2NkZi00YjkyLWIzYWEtNTJmMzJjODllNjdjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX101_CR0,0,101,150_.jpg"
1478,Wallace & Gromit: The Wrong Trousers (1993),Animation,108598,4.595714286,"https://m.media-amazon.com/images/M/MV5BYWFlOGE2NTUtODcwMy00NTIxLTk2NGEtNjIzN2U3NjA5MmZhXkEyXkFqcGdeQXVyNTA4NzExMDg@._V1_SY150_CR2,0,101,150_.jpg"
1105,Ratatouille (2007),Animation,382932,4.588055556,"https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_SY150_CR0,0,101,150_.jpg"
382,E.T. the Extra-Terrestrial (1982),Children,83866,4.986393443,"https://m.media-amazon.com/images/M/MV5BMTQ2ODFlMDAtNzdhOC00ZDYzLWE3YTMtNDU4ZGFmZmJmYTczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX101_CR0,0,101,150_.jpg"
101,Babe (1995),Children,112431,4.93234375,"https://m.media-amazon.com/images/M/MV5BY2FhNjFjNGUtM2UzMS00YTljLWJmYTctMzYyZjNmNTQyNDQ0XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX101_CR0,0,101,150_.jpg"
1259,Son of Rambow (2007),Children,845046,4.696666667,"https://m.media-amazon.com/images/M/MV5BMTM1MjM0ODc5N15BMl5BanBnXkFtZTcwMjMxMDg1MQ@@._V1_SY150_CR0,0,101,150_.jpg"
687,It's a Wonderful Life (1946),Children,38650,4.614482759,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SY150_CR1,0,101,150_.jpg"
835,Mary Poppins (1964),Children,58331,4.597323944,"https://m.media-amazon.com/images/M/MV5BNmJkODczNjItNDI5Yy00MGI1LTkyOWItZDNmNjM4ZGI1ZDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX101_CR0,0,101,150_.jpg"
460,Forrest Gump (1994),Comedy,109830,7.454133739,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY150_CR1,0,101,150_.jpg"
1078,Pulp Fiction (1994),Comedy,110912,7.267068404,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY150_CR1,0,101,150_.jpg"
426,Fargo (1996),Comedy,116282,5.926022099,"https://m.media-amazon.com/images/M/MV5BNDJiZDgyZjctYmRjMS00ZjdkLTkwMTEtNGU1NDg3NDQ0Yzk1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SY150_CR0,0,101,150_.jpg"
53,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy,211915,5.383333333,https://fr.web.img6.acsta.net/r_1280_720/img/8b/76/8b76a9d194600c8c0268b654349217be.jpg
372,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy,57012,5.238041237,"https://m.media-amazon.com/images/M/MV5BMWMxYjZkOWUtM2FjMi00MmI1LThkNzQtNTM5Y2E2ZGQ2NGFhXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX101_CR0,0,101,150_.jpg"
1213,Shawshank Redemption (1994),Crime,111161,7.599022082,"https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_SX101_CR0,0,101,150_.jpg"
